,sku_id,category,brand,color,size,week_start,weekly_sales,avg_price,avg_markdown,avg_rating,week_of_year,month,lag_1_sales,lag_2_sales,rolling_4w_avg
1407,Tops_Ann Taylor_Navy_S,Tops,Ann Taylor,Navy,S,2025-01-27,1,79.33,0.0,3.4,5,1,1.0,,1.0
1029,Outerwear_Uniqlo_Purple_L,Outerwear,Uniqlo,Purple,L,2025-01-27,1,138.89,0.0,,5,1,1.0,,1.0
654,Dresses_H&M_Navy_XL,Dresses,H&M,Navy,XL,2025-02-03,1,51.93,53.5,,6,2,1.0,,1.0
4,Accessories_Ann Taylor_Black_OS,Accessories,Ann Taylor,Black,OS,2025-02-03,1,33.49,45.4,,6,2,1.0,1.0,1.0
155,Accessories_Zara_Brown_OS,Accessories,Zara,Brown,OS,2025-02-03,1,29.75,0.0,3.9,6,2,1.0,1.0,1.0
83,Accessories_Gap_White_OS,Accessories,Gap,White,OS,2025-02-03,1,35.5,29.2,4.4,6,2,1.0,,1.0
321,Bottoms_Gap_Red_S,Bottoms,Gap,Red,S,2025-02-03,1,93.89,0.0,1.8,6,2,1.0,,1.0
1645,Tops_Uniqlo_Red_XL,Tops,Uniqlo,Red,XL,2025-02-17,1,26.01,0.0,4.0,8,2,1.0,,1.0
94,Accessories_H&M_Green_OS,Accessories,H&M,Green,OS,2025-02-24,1,46.97,0.0,2.6,9,2,1.0,1.0,1.0
97,Accessories_H&M_Navy_OS,Accessories,H&M,Navy,OS,2025-03-03,1,50.12,0.0,2.4,10,3,1.0,,1.0
1314,Shoes_Uniqlo_Brown_L,Shoes,Uniqlo,Brown,L,2025-03-03,1,178.05,0.0,,10,3,1.0,,1.0
1517,Tops_Gap_Green_XS,Tops,Gap,Green,XS,2025-03-10,1,101.88,0.0,,11,3,1.0,,1.0
122,Accessories_Uniqlo_Beige_OS,Accessories,Uniqlo,Beige,OS,2025-03-17,1,56.44,0.0,4.0,12,3,1.0,,1.0
